username,Category,Country
rumbo.shop,"(""belleza"" OR ""maquillaje"" OR ""cosméticos"")","(""México"" OR ""Mexico"" OR ""mx"")"
makeupshopmx,"(""belleza"" OR ""maquillaje"" OR ""cosméticos"")","(""México"" OR ""Mexico"" OR ""mx"")"
ipsy.mex,"(""belleza"" OR ""maquillaje"" OR ""cosméticos"")","(""México"" OR ""Mexico"" OR ""mx"")"
eleganzaglobal,"(""belleza"" OR ""maquillaje"" OR ""cosméticos"")","(""México"" OR ""Mexico"" OR ""mx"")"
makeupmx,"(""belleza"" OR ""maquillaje"" OR ""cosméticos"")","(""México"" OR ""Mexico"" OR ""mx"")"
krios_shop,"(""belleza"" OR ""maquillaje"" OR ""cosméticos"")","(""México"" OR ""Mexico"" OR ""mx"")"
kisuo.beauty.shop,"(""belleza"" OR ""maquillaje"" OR ""cosméticos"")","(""México"" OR ""Mexico"" OR ""mx"")"
klipperspeluqueriamx,"(""belleza"" OR ""maquillaje"" OR ""cosméticos"")","(""México"" OR ""Mexico"" OR ""mx"")"
trendyyshoop_,"(""belleza"" OR ""maquillaje"" OR ""cosméticos"")","(""México"" OR ""Mexico"" OR ""mx"")"
shopmarianazambrano,"(""belleza"" OR ""maquillaje"" OR ""cosméticos"")","(""México"" OR ""Mexico"" OR ""mx"")"
bondsboutique,"(""belleza"" OR ""maquillaje"" OR ""cosméticos"")","(""México"" OR ""Mexico"" OR ""mx"")"
olivine.com.mx,"(""belleza"" OR ""maquillaje"" OR ""cosméticos"")","(""México"" OR ""Mexico"" OR ""mx"")"
caymantattooshop,"(""belleza"" OR ""maquillaje"" OR ""cosméticos"")","(""México"" OR ""Mexico"" OR ""mx"")"
maliloshop,"(""belleza"" OR ""maquillaje"" OR ""cosméticos"")","(""México"" OR ""Mexico"" OR ""mx"")"
mint.caffeine,"(""belleza"" OR ""maquillaje"" OR ""cosméticos"")","(""México"" OR ""Mexico"" OR ""mx"")"
mayorca.mx,"(""belleza"" OR ""maquillaje"" OR ""cosméticos"")","(""México"" OR ""Mexico"" OR ""mx"")"
somosbellezaoficial,"(""belleza"" OR ""maquillaje"" OR ""cosméticos"")","(""México"" OR ""Mexico"" OR ""mx"")"
mepieldistribuidores,"(""belleza"" OR ""maquillaje"" OR ""cosméticos"")","(""México"" OR ""Mexico"" OR ""mx"")"
cosmeticsadi,"(""belleza"" OR ""maquillaje"" OR ""cosméticos"")","(""México"" OR ""Mexico"" OR ""mx"")"
C_JLwhryBsS,"(""belleza"" OR ""maquillaje"" OR ""cosméticos"")","(""México"" OR ""Mexico"" OR ""mx"")"
annasarelly,"(""belleza"" OR ""maquillaje"" OR ""cosméticos"")","(""México"" OR ""Mexico"" OR ""mx"")"
melonbombon,"(""belleza"" OR ""maquillaje"" OR ""cosméticos"")","(""México"" OR ""Mexico"" OR ""mx"")"
beautydose,"(""belleza"" OR ""maquillaje"" OR ""cosméticos"")","(""México"" OR ""Mexico"" OR ""mx"")"
gloweeargentina,"(""belleza"" OR ""maquillaje"" OR ""cosméticos"")","(""Argentina"" OR ""Buenos Aires"" OR ""Arg"")"
beautyshopctes,"(""belleza"" OR ""maquillaje"" OR ""cosméticos"")","(""Argentina"" OR ""Buenos Aires"" OR ""Arg"")"
kiramayorista,"(""belleza"" OR ""maquillaje"" OR ""cosméticos"")","(""Argentina"" OR ""Buenos Aires"" OR ""Arg"")"
lulumakeup,"(""belleza"" OR ""maquillaje"" OR ""cosméticos"")","(""Argentina"" OR ""Buenos Aires"" OR ""Arg"")"
selectbeauty_,"(""belleza"" OR ""maquillaje"" OR ""cosméticos"")","(""Argentina"" OR ""Buenos Aires"" OR ""Arg"")"
cosmetic.shop.arg,"(""belleza"" OR ""maquillaje"" OR ""cosméticos"")","(""Argentina"" OR ""Buenos Aires"" OR ""Arg"")"
cherryandmakeup,"(""belleza"" OR ""maquillaje"" OR ""cosméticos"")","(""Argentina"" OR ""Buenos Aires"" OR ""Arg"")"
skiincare,"(""belleza"" OR ""maquillaje"" OR ""cosméticos"")","(""Argentina"" OR ""Buenos Aires"" OR ""Arg"")"
levuashop,"(""belleza"" OR ""maquillaje"" OR ""cosméticos"")","(""Argentina"" OR ""Buenos Aires"" OR ""Arg"")"
makeupimportadoarg,"(""belleza"" OR ""maquillaje"" OR ""cosméticos"")","(""Argentina"" OR ""Buenos Aires"" OR ""Arg"")"
somosflowshop,"(""belleza"" OR ""maquillaje"" OR ""cosméticos"")","(""Argentina"" OR ""Buenos Aires"" OR ""Arg"")"
mely.beauty.ar,"(""belleza"" OR ""maquillaje"" OR ""cosméticos"")","(""Argentina"" OR ""Buenos Aires"" OR ""Arg"")"
almapinkshop,"(""belleza"" OR ""maquillaje"" OR ""cosméticos"")","(""Argentina"" OR ""Buenos Aires"" OR ""Arg"")"
gui.makeup26,"(""belleza"" OR ""maquillaje"" OR ""cosméticos"")","(""Argentina"" OR ""Buenos Aires"" OR ""Arg"")"
bymakeuparg,"(""belleza"" OR ""maquillaje"" OR ""cosméticos"")","(""Argentina"" OR ""Buenos Aires"" OR ""Arg"")"
maquillaje.pormayor,"(""belleza"" OR ""maquillaje"" OR ""cosméticos"")","(""Argentina"" OR ""Buenos Aires"" OR ""Arg"")"
maccosmeticsarg,"(""belleza"" OR ""maquillaje"" OR ""cosméticos"")","(""Argentina"" OR ""Buenos Aires"" OR ""Arg"")"
tienda.peaceok,"(""belleza"" OR ""maquillaje"" OR ""cosméticos"")","(""Argentina"" OR ""Buenos Aires"" OR ""Arg"")"
organicshop_arg,"(""belleza"" OR ""maquillaje"" OR ""cosméticos"")","(""Argentina"" OR ""Buenos Aires"" OR ""Arg"")"
sassani,"(""belleza"" OR ""maquillaje"" OR ""cosméticos"")","(""Argentina"" OR ""Buenos Aires"" OR ""Arg"")"
centraldebelleza,"(""belleza"" OR ""maquillaje"" OR ""cosméticos"")","(""Argentina"" OR ""Buenos Aires"" OR ""Arg"")"
hame.makeup,"(""belleza"" OR ""maquillaje"" OR ""cosméticos"")","(""Argentina"" OR ""Buenos Aires"" OR ""Arg"")"
newyorkmakeupstore,"(""belleza"" OR ""maquillaje"" OR ""cosméticos"")","(""Argentina"" OR ""Buenos Aires"" OR ""Arg"")"
friddashop,"(""belleza"" OR ""maquillaje"" OR ""cosméticos"")","(""Argentina"" OR ""Buenos Aires"" OR ""Arg"")"
julijulikshop,"(""belleza"" OR ""maquillaje"" OR ""cosméticos"")","(""Argentina"" OR ""Buenos Aires"" OR ""Arg"")"
belissa.argentina,"(""belleza"" OR ""maquillaje"" OR ""cosméticos"")","(""Argentina"" OR ""Buenos Aires"" OR ""Arg"")"
lucilabeautyshop,"(""belleza"" OR ""maquillaje"" OR ""cosméticos"")","(""Argentina"" OR ""Buenos Aires"" OR ""Arg"")"
saniyeargentina,"(""belleza"" OR ""maquillaje"" OR ""cosméticos"")","(""Argentina"" OR ""Buenos Aires"" OR ""Arg"")"
lulumakeup.arg,"(""belleza"" OR ""maquillaje"" OR ""cosméticos"")","(""Argentina"" OR ""Buenos Aires"" OR ""Arg"")"
makeup_studio_pdas,"(""belleza"" OR ""maquillaje"" OR ""cosméticos"")","(""Argentina"" OR ""Buenos Aires"" OR ""Arg"")"
kryolanargentina,"(""belleza"" OR ""maquillaje"" OR ""cosméticos"")","(""Argentina"" OR ""Buenos Aires"" OR ""Arg"")"
maxfactorar,"(""belleza"" OR ""maquillaje"" OR ""cosméticos"")","(""Argentina"" OR ""Buenos Aires"" OR ""Arg"")"
